Crop,Duration,Season,Tips
Wheat,120,Rabi,Apply nitrogen fertilizer at sowing and flowering stage. Watch for rust disease.
Paddy,135,Kharif,Maintain standing water at 5cm. Apply urea in splits. Control weeds early.
Cotton,160,Kharif,Monitor pink bollworm. Avoid excessive nitrogen. Pick cotton when bolls open.
Tomato,100,Rabi,Support plants with stakes. Mulch to retain moisture. Watch for leaf curl virus.
Chana,105,Rabi,Inoculate seeds with rhizobium. Apply gypsum at pod development.
Groundnut,110,Kharif,Ensure good drainage. Apply calcium at pegging stage. Control leaf spot.
Maize,120,Kharif,Apply fertilizer in bands near roots. Control stem borers. Harvest when leaves dry.
Rice,145,Kharif,Use System of Rice Intensification (SRI). Drain field before harvest. Dry grains properly.
Sugarcane,365,Annual,Provide adequate irrigation. Trash mulching helps. Harvest at 10-12 month age.
Potato,90,Rabi,Plant in well-drained soil. Earth up at 30 days. Control late blight with fungicides.
Peas,75,Rabi,Inoculate with rhizobium. Harvest when pods are plump. Quick cooling preserves quality.
Mustard,110,Rabi,Apply硼 fertilizer at flowering. Control aphids. Harvest when pods turn yellow.
Soybean,100,Kharif,Use Rhizobium inoculant. Control stem fly. Harvest when leaves turn yellow.
Onion,120,Rabi,Transplant seedlings at 6 weeks. Stop irrigation 2 weeks before harvest. Cure properly.
Cabbage,90,Rabi,Transplant at 4-5 leaf stage. Control diamondback moth. Harvest when heads are firm.
